affiliation1	affiliation2	doculect	location1	location2	textID	text_segment	tokenID	token_context	context_translation	token	token_translation	pro	anim	weight	role	flag	position	nc	comments
hell	ponticgreek	romeyka	40.5928	40.2190	A	21	29	jane emistine haets edhevasam da imeras ama har u bine, har u bine	we, like this we spent our days but now they donвЂ™t do it	da imeras	the days		inan	2	do	bare	1	NA	unclear -s marker on the plural noun
hell	ponticgreek	romeyka	40.5928	40.2190	A	23	31	t arapadhes talo dhoma ula hazire ine mis edodes jaja ebejnam tsh erxumunist ne jane havudje:s embro	the highways are all ready, in earlier times we went and came by foot, yes, well before these days	hazire	ready		adj	1	cop	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	24	32	havudje:s do getshinima mono zori edune	all these, the living was a bit difficult	mono zori	a little difficult		adj	2	cop	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	25	33	dzhingi adha so mehele	because here in the nighbourhood	adha so mehele	here in the neighborhood		inan	2	loc	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	25	34	emistine dhomo utsh ixame	we did not have a way	dhomo	a road		inan	1	do	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	26	35	ula me ta rashes ta yomare ekovalename	we always carried the loads with the pannier	me ta rashes	with the panniers		inan	2	instr	prep	0	NA	unclear -s marker on the plural noun
hell	ponticgreek	romeyka	40.5928	40.2190	A	26	36	ula me ta rashes ta yomare ekovalename	we always carried the loads with the pannier	ta yomare	the loads		inan	2	do	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	27	37	emis havuda fazla utsh ejashajepsam ama temetera i palei i drani:	we have all this not quite experienced but our forefathers, the elders	havuda	these	4	inan	1	do-def	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	28	38	ason baxari, ason baxari iki sefer xordar ebinane, iki sefer	from the pasture, from the pasture they made two times hay, two times	ason baxari	from the pasture		inan	2	abl	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	28	39	ason baxari, ason baxari iki sefer xordar ebinane, iki sefer	from the pasture, from the pasture they made two times hay, two times	xordar	hay		inan	1	do	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	29	40	me di rash eduna	with their panniers	me di rash=eduna	with their panniers	3-bound	inan	3	instr	prep	1	NA	interpolated phrase
hell	ponticgreek	romeyka	40.5928	40.2190	A	31	42	genishe dhomo utsh en	there is no broad way	genishe dhomo	a broad road		inan	2	cop	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	32	43	hado do musluxi anizuma	we? opened this faucet	hado do musluxi	this faucet		inan	2	do-def	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	33	44	ha:tshieka bal en musluxa tsh idha	there no faucets were seen?	musluxa	faucets		inan	1	do	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	34	45	ne, enja ta dhoma muna patikas	yes, our ways are walkways	patikas	unpaved		adj	1	cop	bare	1	NA	form of cop unclear enja?
hell	ponticgreek	romeyka	40.5928	40.2190	A	35	46	jane dhio insane: ezorile exorenane ele me do yomari:	two people could barely walk especially with the pannier	me do yomari	with the pannier		inan	2	other	prep	1	NA	postposed insertion
hell	ponticgreek	romeyka	40.5928	40.2190	A	36	47	i dhijin tsh exorenan so dhormo	the two could not pass at the ways	so dhormo	at the road		inan	2	loc	prep	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	39	49	har hajes utsh en	now it is not like this	har	now		adv	1	other	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	41	51	son baxari ba me din araba ba:s	you go to the pasture by car	son barxari	to the pasture		inan	2	goal	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	41	52	son baxari ba me din araba ba:s	you go to the pasture by car	me din araba	with the car		inan	2	instr	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	42	53	so spidi s ba me din araba s ba:s	to your house you also go by car	so spidi s	to your house		inan	2	goal	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	42	54	so spidi s ba me din araba s ba:s	to your house you also go by car	me din araba s	with the car		inan	2	instr	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	43	55	sin trabezunda me din araba bas	to Trabzon you go by car	sin trabezunda	to trabzon		inan	2	goal	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	43	56	sin trabezunda me din araba bas	to Trabzon you go by car	me din araba	with the car		inan	2	instr	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	45	58	habadzhi beran asa rashia	from opposite there from the mountains	habadzhiberan	from opposite there		inan	1	abl	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	45	59	habadzhi beran asa rashia	from opposite there from the mountains	asa rashia	from the mountains		inan	2	abl	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	46	60	jaja ebeinane me ta za	they went by foot with the cows	me ta za	with the animals		anim	2	com	prep	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	47	61	me ta za jaja ebejnane	they went with the cows by foot	me ta za	with the animals		anim	2	com	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	48	62	ne, jane ena imera, ena imera andzha kahuvane son baxari tshino ba	yes, one day, on a single day they went up to the pasture, this also	son barxari	to the pasture		inan	2	goal	prep	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	50	64	jane enan teki ila zai veredzhaidile	likely at least one was lost	enan teki	a single one		anim	2	do	case	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	51	66	he, ula me din araba bane	now everybody goes by car	me din araba	with the car		inan	2	instr	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	52	67	son baxari ba he si mazira ba	as well to the pasture, as well to the recreation spot	son baxari	to the pasture		inan	2	goal	prep	1	NA	postposed insertion
hell	ponticgreek	romeyka	40.5928	40.2190	A	52	68	son baxari ba he si mazira ba	as well to the pasture, as well to the recreation spot	si mazira	to the recreation spot		inan	2	goal	prep	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	55	71	jane fazla geliri utsh esh	(it) has not much income	fazla geliri	much income		inan	2	poss	bare	0	NA	tr loan
hell	ponticgreek	romeyka	40.5928	40.2190	A	56	72	ufak tevek me ta xorafae urashevume	marginally we deal with the fields	me ta xorafe	with the fields		inan	2	other	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	57	73	efteme fasulijas	we make beans	fasulijas	beans		inan	1	do	bare	1	NA	unclear -s marker on the plural noun
hell	ponticgreek	romeyka	40.5928	40.2190	A	58	74	efteme jaralmasija	we make potatoes	jaralmasija	potatoes		inan	1	do	bare	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	59	75	etshina bal onorafa indan	they are also nice?	omorfa	nice		adj	1	cop	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	60	76	emorfa indane neja bazen bulume b etshi ba	they become nice, sometimes we also sell them	emorfa	nice		adj	1	cop	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	60	77	emorfa indane neja bazen bulume b etshi ba	they become nice, sometimes we also sell them	b etshi	from it		inan	2	other	prep	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	61	78	jani havudijeka i fasulija kalo e:n, nezetli e:n	these beans are good, they are tasty	kalo	good		adj	1	cop	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	61	79	jani havudijeka i fasulija kalo e:n, nezetli e:n	these beans are good, they are tasty	nezetli	tasty		adj	1	cop	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	62	80	jane herkes seve seve buranin fasuljesini ebere, ne	everybody likes to buy beans from here, yes	buranin fasuljesini	beans from here	4-bound	inan	2	do-def	relnoun-case	0	NA	Code-mixing
hell	ponticgreek	romeyka	40.5928	40.2190	A	63	81	ne shimdi emis bal atshes ishte s opsarema bejname bola	yes, now we here also went fishing a lot	s opsarema	to the fishing		inan	1	other	prep	0	NA	or goal?
hell	ponticgreek	romeyka	40.5928	40.2190	A	64	82	sa bodame, ebejnam etote alabaluyija inede sa botame, kotshina, biribila	to the valleys we went, at the valley there are many salmons, red fish, biribila	sa bodame	to the valleys		inan	2	goal	prep	1	NA	postposed insertion
hell	ponticgreek	romeyka	40.5928	40.2190	A	64	83	sa bodame ebejnam etote alabaluyija inede sa botame, kotshina, biribila	to the valleys we went, at the valley there are many salmons, red fish, biribila	sa bodame	at the valleys		inan	2	loc	prep	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	66	85	ebejnam so psarema	we went fishing	s opsarema	to the fishing		inan	2	other	prep	1	NA	or goal?
hell	ponticgreek	romeyka	40.5928	40.2190	A	67	86	so mektebi onda bejname	when we went to school	so mektebi	to school		inan	2	goal	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	68	87	do kindzhe sevenam so potami	in the mid-afternoon we went down to the valley	so potami	to the valley		inan	2	goal	prep	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	68	88	me d opserangisho	with the fishing rod	me d opserangisho	with the fishing rod		inan	2	com	prep	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	68	89	me do tshubuxi, me do tshubuxi	with the stick, with the stick	me do tshubuxi	with the stick		inan	2	com	prep	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	69	90	sevenam sa bodame os tu mehelle bashi ervename	we entered the valley and went as far as to the begin of the neighbourhood	sa bodame	to the valleys		inan	2	goal	prep	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	69	91	sevenam sa bodame os tu mehelle bashi ervename	we entered the valley and went as far as to the begin of the neighbourhood	os tu mehelle bashi	until the begin of the neighborhood		inan	3	goal	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	70	92	mijes ebiya s opsarema	once I went fishing	s opsarema	to the fishing		inan	2	other	prep	1	NA	or goal?
hell	ponticgreek	romeyka	40.5928	40.2190	A	71	93	habaladzheka	from there	habaladzheka	from there		adv	1	abl	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	71	94	me di mim don beda epiyame	with the son of my uncle we went	me di mim don beda	with the son of my uncle		hum	4	com	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	71	95	adutshan	up	adutshan	up		adv	1	goal	bare	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	72	96	son baxari tshan ebiyame	we went to the Cam pasture	son barxari tshan	to the Cam pasture		inan	3	goal	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	73	97	adu tsham bola drano opsara ine	Cam has many big fish	adu tsham	up there		adv	2	loc	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	74	98	ebiyam etshi	we went there	etshi	there		adv	1	goal	bare	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	75	99	opsar ebsame	we fished	opsar	fish		anim	1	do	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	76	100	trana ba obsarae etlezame bola ba, hem trana sani ham bola	we caught as well big as many fish, as well big and many	trana ba obsarae	big fish		anim	3	do	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	77	101	jane xamenenje plethame bola opsarae	we were happy, we caught many fish	bola opsarae	many fish		anim	2	do	bare	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	78	102	eksevam so ayla son baxari	we left to ? To the pasture	so ayla	To ?		inan	2	goal	prep	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	78	103	eksevam so ayla son baxari	we left to ? To the pasture	son baxari	to the pasture		inan	2	goal	prep	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	79	104	itshiega deresa sin dzheb im	later I looked into my pocket	sin dzheb im	into my pocket		inan	2	loc	prep	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	80	105	do dzhГјsdanim utsh en edzhi	my wallet is not there	edzhi	there		adv	1	loc	bare	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	81	106	tabi etotes moralum bozuldi hane oileja kadar	of course at that time I was sad, so far	oileja kadar	until then		other	2	other	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	82	107	sevinmish epiya ebedzh omon udzh evra do dzhesdani	I went happily, but when not finding my wallet	do dzhesdani	the wallet		inan	2	do	bare	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	84	109	edodes bal ishte eklosdame biz alo son baxari tsh epiyame ba na bam arajevom do dhormo	at that time we returned and did not go to the pasture anymore, we went to seek the way	son barxari	to the pasture		inan	2	goal	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	84	110	edodes bal ishte eklosdame biz alo son baxari tsh epiyame ba na bam arajevom do dhormo	at that time we returned and did not go to the pasture anymore, we went to seek the way	do dhormo	the way		inan	2	do	bare	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	85	111	ne, neise ebetshi ebetshi yada tshabuxa tshabuxa ertham	yes, then we came very fast	ebetshi	from there		adv	1	abl	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	86	112	to dzhГјsdane s ospid epika	I left the wallet at home	to dzhГјsdane	the wallet		inan	2	do	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	86	113	to dzhГјsdane s ospid epika	I left the wallet at home	s ospid	at home		inan	2	loc	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	87	114	s al du pontol im din dzhebi	in the pocket of my other trouser	s al du pontol im din dzhebi	in the pocket of my other trouser		inan	4	loc	prep	1	NA	postposed insertion
hell	ponticgreek	romeyka	40.5928	40.2190	A	91	118	yai sa barxare bame	we go to the pastures	sa barxare	to the pastures		inan	2	goal	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	92	119	bame so kopsimo	we go to the tree logging	so kopsimo	to the tree logging		inan	2	goal	prep	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	93	120	dieftem da xordarae	we make our loads	da xordarae	the loads		inan	2	do	bare	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	94	121	me.. me din araba ferume	we bring it with the car	me din araba	with the car		inan	2	instr	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	95	122	ta sheere koftume	we cut the meadows	ta tsheire	the meadows		inan	2	do	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	96	123	son barxari exume do:be, tsheire	at the pasture we have lands, meadows	dobe	grounds		inan	1	do	bare	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	96	124	son barxari exume do:be, tsheire	at the pasture we have lands, meadows	tsheire	meadows		inan	1	poss	bare	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	97	125	da xordarae kofteme tshe eberum tsh erxumis	we cut the meadows and we take it and return	da xordarae	the meadows		inan	2	poss	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	98	126	embro ixame za:	before we had cows	za	animals		anim	1	poss	bare	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	99	127	har za utsh exume	now we don't have cows	za	animals		anim	1	poss	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	102	130	hadha so boyazi tshan en	it is above this valley	hadha so boyazi tshan	here above the valley		inan	3	loc	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	103	131	o dhormos har en etshi dush havu o rdhomos itshi son barxari bai	the way is now open, this way goes to the pasture	son barxari	to the pasture		inan	2	goal	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	104	132	araba joli esh	it has a car way	araba joli	car way		inan	2	poss	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	105	133	ha embro utsh ishen dhromo	before they had no way	dhromo	road		inan	1	poss	bare	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	106	134	tari patika joli ishen	they had a narrow footpath	tari patika joli	narrow footpath		inan	3	poss	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	108	136	son baxari muna direk araba bai, ne	a car goes directly to our pasture, yes	son baxari muna	to our pasture		inan	3	goal	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	109	137	jane hare olaii en	now it is easy	yolai	easy		adj	1	cop	bare	0	NA	Later in analysis; text ID needs to be considered as a variable as severe intra-speaker variations seems to occur!
hell	ponticgreek	romeyka	40.5928	40.2190	A	110	138	ta xordare mun do thelis bas koftjis tshe feris	our fields, when you want to go you cut and bring (it)	ta xordare mun	our fields		inan	2	do	bare	0	NA	focus position
hell	ponticgreek	romeyka	40.5928	40.2190	A	111	139	ama har kaini za u deri:	but now nobody looks after cows	za	animals		anim	1	do	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	112	140	provado u deri:	looks after sheep	provado	sheep		anim	1	do	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	113	141	muskari u deri	looks after a calf	muskari	calf		anim	1	do	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	114	142	kosara u deri:	looks after chicken	kosara	chicken		anim	1	do	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	115	143	tibu tsh exume	we don't have anything	tibu	anything	other	inan	1	do	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	116	144	ifedi, ifedi eyo ebiya ishte muskarae	this year, this year I bought calves	muskarae	calves		anim	1	do	bare	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	117	145	utsh dane muskar ebiya, dria	I bought three calves, three	utsh dane muskar	three calves		anim	3	do	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	119	147	dria musgarae ebiya	I bought three calves	dria musgarae	three calves		anim	2	do	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	120	148	kosaras bal exo	I also have chicken	kosaras bal	chicken		anim	1	do	bare	0	NA	unclear -s marker on the plural noun
hell	ponticgreek	romeyka	40.5928	40.2190	A	121	149	eh.. me ta da, ta muskara omo yardhelja dero	with them, I look after the calves like after children	ta muskara	the calves		anim	2	do-def	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	121	150	eh.. me ta da, ta muskara omo yardhelja dero	with them, I look after the calves like after children	omo yardhelja	like children		hum	1	other	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	122	151	me do biberoni fajiza ta	I feed them with the feeding bottle	me do biberoni	with the feeding bottle		inan	2	instr	prep	0	NA	clitic object pronoun
hell	ponticgreek	romeyka	40.5928	40.2190	A	123	152	jane omorfo shu anda omorfo jashanti exo	good, at the moment I have a good life	omorfo jashanti	a nice life		inan	2	poss	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	125	154	to saluxi m exo	I am healthy	to saluxi m	my health	1-bound	bp	1	do	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	126	155	xastas utsh ime	I am not sick	hastas	sick		adj	1	cop	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	127	156	iladzhi u kullanjevo	I don't use medicine	iladzhi	medicine		inan	1	do	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	128	157	avudzhega do hava budhenjega u boris ne vrishkis	this air you cannot find anywhere else	avudzhega do hava	this weather		inan	3	do	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	129	158	alon d arajevume	what else are we looking for	alo nd	what else	wh	other	2	do	case	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	129	159	hatshi tshe hadha	here and there	hatshi tshe hadha	here and there		adv	3	loc	bare	1	NA	kind of postposed construction
hell	ponticgreek	romeyka	40.5928	40.2190	A	129	160	jok su istanboli	(this) does not exist in Istanbul	so istanboli	in Istanbul		inan	2	loc	prep	1	NA	borrowed tr existential construction with jok
hell	ponticgreek	romeyka	40.5928	40.2190	A	129	161	jok sin antalia	not in Antalya	sin antalia	in Antalya		inan	2	loc	prep	1	NA	borrowed tr existential construction with jok
hell	ponticgreek	romeyka	40.5928	40.2190	A	129	162	jok sin bursa	not in Bursa	sin bursa	in Bursa		inan	2	loc	prep	1	NA	borrowed tr existential construction with jok
hell	ponticgreek	romeyka	40.5928	40.2190	A	130	163	itshies t arajevova	what do I look for there	t	what	wh	other	1	do	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	130	164	havudies dzhenneti en	here is a paradise	havudies	this here		adv	1	loc	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	130	165	havudies dzhenneti en	here is a paradise	dzhenneti	paradise		other	1	cop	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	131	166	jani havudes mono tiki en ama havu do jesiluxi, havu do hava	well, here it is a bit steep but this verdure, this air	havudes	this here		adv	1	loc	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	131	167	ta uzh enga do nero	I did not bring the water there?	do nero	the water		inan	1	do-def	bare	1	NA	unclear translation
hell	ponticgreek	romeyka	40.5928	40.2190	A	132	168	buthenjega boris ne vrishkis a	you can find this nowhere else	buthendzhega	whereelse	wh	inan	1	loc	bare	0	NA	clitic object pronoun
hell	ponticgreek	romeyka	40.5928	40.2190	A	133	169	jane eyo etshi boshlis ime	I am committed to this	etshi	here		adv	1	loc	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	133	170	jane eyo etshi boshlis ime	I am committed to this	boshlis	committed		adj	1	cop	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	134	171	bu havaja boslijum	I am committed to this air	bu havaja	to this air		inan	2	other	other	0	NA	tr mixing
hell	ponticgreek	romeyka	40.5928	40.2190	A	135	172	hadha so nero boslijum	I am committed to the water here	hadha so nero	to the water here		inan	3	do	prep	0	NA	copula in tr copy
hell	ponticgreek	romeyka	40.5928	40.2190	A	136	173	hadha so jeshiluxi boslijum	I am commited to the green here	hadha so jeshiluxi	to the verdure here		inan	3	do	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	137	174	estedejim zaman pe pГјknigi m efteyo	when I want I make a picknick	do pГјknigi	the picknick		inan	1	do	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	138	175	pao so rashi	I go to the mountain	so rashi	to the mountain		inan	2	goal	prep	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	139	176	ebeyo tshe bayo ena demligi	I take a tea pot and go	ena demligi	a tea pot		inan	2	do	bare	1	NA	
